gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpend,TenureGroup
Female,-0.4403270894126641,1.0356168260670764,-0.6523049310632244,-1.2802480369298872,-3.0563338283944437,No phone service,No,Yes,No,No,No,No,0.8289391504586737,-1.1616939352451687,-0.9941940877241977,-0.6016633925085941,False,False,False,False,False,True,False,1.4872563801109828,1
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,0.06430268518835204,0.3271893896895815,No,Yes,No,Yes,No,No,No,-1.206361165890975,-0.2608779199297494,-0.17373981825040716,-0.6016633925085941,False,False,True,False,False,False,True,-0.01677515075783475,0
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-1.239504075653577,0.3271893896895815,No,Yes,Yes,No,No,No,No,0.8289391504586737,-0.3639232943754247,-0.9596491092068434,1.6620589061112205,False,False,False,False,False,False,True,0.4510844066036153,1
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,0.5124862592277651,-3.0563338283944437,No phone service,Yes,No,Yes,Yes,No,No,-1.206361165890975,-0.7478504152939892,-0.19524770717404724,-0.6016633925085941,False,False,True,False,False,False,False,-0.383263061795947,0
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-1.239504075653577,0.3271893896895815,No,No,No,No,No,No,No,0.8289391504586737,0.19617817640187485,-0.94045745447498,1.6620589061112205,True,False,False,False,False,True,False,-0.2431636492044103,1
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.9950403079957153,0.3271893896895815,Yes,No,No,Yes,No,Yes,Yes,0.8289391504586737,1.1584890119510038,-0.6453692184426381,1.6620589061112205,True,False,False,False,False,True,False,-1.1527432632613788,1
Male,-0.4403270894126641,-0.9656081041070597,1.5330253572819845,-0.42462485012737133,0.3271893896895815,Yes,No,Yes,No,No,Yes,No,0.8289391504586737,0.8078023344020117,-0.14731268909089856,-0.6016633925085941,True,False,False,False,True,False,False,-0.34301294517799497,1
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.9135523854430947,-3.0563338283944437,No phone service,Yes,No,No,No,No,No,-1.206361165890975,-1.165017979582126,-0.8741690378436584,-0.6016633925085941,False,False,False,False,False,False,True,1.0643049543313459,1
Female,-0.4403270894126641,1.0356168260670764,-0.6523049310632244,-0.18016108246950965,0.3271893896895815,Yes,No,No,Yes,Yes,Yes,Yes,0.8289391504586737,1.3296772953043028,0.3365155445113559,1.6620589061112205,True,False,False,False,False,True,False,-0.23955610085715315,1
Male,-0.4403270894126641,-0.9656081041070597,1.5330253572819845,1.20513360092504,0.3271893896895815,No,Yes,Yes,No,No,No,No,-1.206361165890975,-0.28747027462540764,0.5314762853391826,-0.6016633925085941,False,False,True,False,False,False,False,-0.34644008721822744,0
Male,-0.4403270894126641,1.0356168260670764,1.5330253572819845,-0.7913205016141639,0.3271893896895815,No,Yes,No,No,No,No,No,0.8289391504586737,-0.493561023516758,-0.7481879571842651,-0.6016633925085941,False,False,False,False,False,False,True,0.39056495670648106,1
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.669088617785233,0.3271893896895815,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,-1.206361165890975,-1.5240147679735108,-0.8631834699626608,-0.6016633925085941,False,True,False,True,True,False,False,1.0197009345876789,1
Male,-0.4403270894126641,1.0356168260670764,-0.6523049310632244,1.042157755819799,0.3271893896895815,Yes,No,No,Yes,No,Yes,Yes,-1.206361165890975,1.1817573223097042,1.4990665744239267,-0.6016633925085941,True,False,True,False,True,False,False,1.2315775589418958,0
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,0.6754621043330062,0.3271893896895815,Yes,No,Yes,Yes,No,Yes,Yes,0.8289391504586737,1.293112807597773,1.214588896927247,1.6620589061112205,True,False,False,False,False,False,False,0.8734486981599532,0
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.3023929662984405,0.3271893896895815,No,Yes,No,Yes,Yes,Yes,Yes,0.8289391504586737,1.3529456056630038,0.17768805707524446,-0.6016633925085941,True,False,False,False,False,True,False,-0.40912123493687597,1
Female,-0.4403270894126641,1.0356168260670764,1.5330253572819845,1.490341329859212,0.3271893896895815,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-1.206361165890975,1.6105590417771918,2.4758776815292665,-0.6016633925085941,True,False,False,True,True,False,False,2.4002827041389976,0
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,0.7976939881619372,0.3271893896895815,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,-1.206361165890975,-1.4675060142452374,-0.5560508161330804,-0.6016633925085941,False,True,True,False,False,False,True,-1.1706207251549117,0
Male,-0.4403270894126641,-0.9656081041070597,1.5330253572819845,1.5718292524118325,0.3271893896895815,Yes,Yes,No,Yes,No,Yes,Yes,-1.206361165890975,1.392834137706491,2.249592630679318,-0.6016633925085941,True,False,False,True,False,False,False,2.1892974414048725,0
Female,-0.4403270894126641,1.0356168260670764,1.5330253572819845,-0.9135523854430947,0.3271893896895815,No,No,No,Yes,Yes,No,No,-1.206361165890975,-0.3190486958265015,-0.7742621363716935,1.6620589061112205,False,False,False,False,True,False,False,0.29146769714480875,1
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.46536881140368164,0.3271893896895815,No,No,Yes,Yes,No,No,Yes,0.8289391504586737,0.8393807556031058,-0.18547540482207533,-0.6016633925085941,True,False,False,False,False,True,False,-0.3906216245501416,1
Male,2.2710390163227596,-0.9656081041070597,-0.6523049310632244,-1.2802480369298872,-3.0563338283944437,No phone service,No,No,Yes,No,No,Yes,0.8289391504586737,-0.8359375902233567,-0.9898704505662146,1.6620589061112205,False,False,False,False,False,True,False,1.0702074588793526,1
Male,-0.4403270894126641,1.0356168260670764,-0.6523049310632244,-0.8320644628904742,0.3271893896895815,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,-1.206361165890975,-1.4957603911093742,-0.9181333687409043,-0.6016633925085941,False,True,True,False,False,False,False,1.244569066441267,1
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-1.2802480369298872,0.3271893896895815,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,-1.206361165890975,-1.4841262359300236,-0.9984736061356706,1.6620589061112205,False,True,False,False,False,False,True,1.9000497001055554,1
Female,-0.4403270894126641,1.0356168260670764,-0.6523049310632244,1.042157755819799,0.3271893896895815,Yes,No,Yes,No,Yes,No,No,0.8289391504586737,-0.16281861198951014,0.5390426503656529,-0.6016633925085941,False,False,False,True,True,False,False,-0.16968267927668237,0
Male,-0.4403270894126641,1.0356168260670764,1.5330253572819845,0.6754621043330062,0.3271893896895815,No,Yes,Yes,No,Yes,No,No,-1.206361165890975,-0.17279074500038183,0.30309559403000746,-0.6016633925085941,False,False,False,False,True,False,False,-0.11671360022722571,0
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.09867315991688907,0.3271893896895815,No,Yes,Yes,No,No,No,No,0.8289391504586737,-0.3157246514895445,-0.3320819994749083,-0.6016633925085941,False,False,False,False,False,False,False,0.03115354902613192,1
Male,-0.4403270894126641,1.0356168260670764,1.5330253572819845,0.5939741817803857,0.3271893896895815,Yes,No,Yes,No,No,Yes,Yes,0.8289391504586737,1.1485168789401317,1.087901916323693,1.6620589061112205,True,False,False,False,False,True,False,0.6821893734294268,0
Male,-0.4403270894126641,1.0356168260670764,1.5330253572819845,-1.2802480369298872,-3.0563338283944437,No phone service,No,Yes,No,No,No,No,-1.206361165890975,-1.1500597800658183,-0.9940396721114126,1.6620589061112205,False,False,False,False,False,True,False,1.4723617757812817,1
Male,-0.4403270894126641,1.0356168260670764,-0.6523049310632244,1.6125732136881428,0.3271893896895815,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.8289391504586737,0.8460288442770204,1.8027579660257245,-0.6016633925085941,False,False,False,True,True,False,False,1.36428345228866,0
Female,-0.4403270894126641,-0.9656081041070597,1.5330253572819845,-0.6283446565089228,0.3271893896895815,No,No,No,No,No,Yes,Yes,0.8289391504586737,-0.003264483815561185,-0.5251015154562937,1.6620589061112205,False,False,False,False,False,False,True,0.0020512209617676923,1
Female,2.2710390163227596,1.0356168260670764,-0.6523049310632244,1.5718292524118325,0.3271893896895815,Yes,Yes,Yes,Yes,Yes,No,No,0.8289391504586737,1.0487955488314136,1.9781299834030972,-0.6016633925085941,True,False,False,True,True,False,False,1.6485275234525378,0
Male,2.2710390163227596,1.0356168260670764,-0.6523049310632244,-1.239504075653577,0.3271893896895815,No,No,No,Yes,No,Yes,Yes,0.8289391504586737,1.020541171967277,-0.9272218305219706,-0.6016633925085941,True,False,False,False,True,False,False,-1.2649649420257176,1
Female,-0.4403270894126641,1.0356168260670764,1.5330253572819845,-0.22090504374581993,0.3271893896895815,No,Yes,Yes,Yes,Yes,No,No,-1.206361165890975,0.04493415907031928,-0.1803796896001668,-0.6016633925085941,False,False,True,False,False,False,True,-0.00992618237511053,1
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-1.2802480369298872,0.3271893896895815,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,-1.206361165890975,-1.482464213761545,-0.9984515467624158,-0.6016633925085941,False,True,False,False,False,False,False,1.8979218994870266,1
Male,2.2710390163227596,-0.9656081041070597,-0.6523049310632244,-1.2802480369298872,0.3271893896895815,No,No,No,No,No,No,No,-1.206361165890975,-0.6497911073537498,-0.9873998007616529,-0.6016633925085941,False,False,False,False,False,False,False,0.8318937896041356,1
Female,-0.4403270894126641,1.0356168260670764,1.5330253572819845,1.6125732136881428,0.3271893896895815,Yes,Yes,Yes,No,Yes,Yes,No,-1.206361165890975,1.166799122793397,2.191995607110472,-0.6016633925085941,True,False,False,True,False,False,False,1.8815490111714535,0
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-1.117272191824646,0.3271893896895815,No,No,No,No,No,No,No,0.8289391504586737,0.16293773303230216,-0.8675512258671538,1.6620589061112205,True,False,False,False,False,True,False,-0.18204579811593932,1
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,0.5532302205040754,0.3271893896895815,No,No,No,Yes,No,No,No,0.8289391504586737,0.3324639942171226,0.5581019488579864,-0.6016633925085941,True,False,False,False,True,False,False,0.18392912883040435,0
Male,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,0.06430268518835204,0.3271893896895815,Yes,No,Yes,Yes,No,Yes,Yes,0.8289391504586737,1.3811999825271404,0.5585210769498316,1.6620589061112205,True,False,False,False,False,True,False,0.08881486765859987,0
Female,-0.4403270894126641,-0.9656081041070597,-0.6523049310632244,-0.8728084241667844,0.3271893896895815,Yes,No,No,Yes,No,Yes,Yes,0.8289391504586737,1.0986562138857727,-0.5196749096355598,1.6620589061112205,True,False,False,False,False,False,False,-0.9589163987426869,1
Male,-0.4403270894126641,1.0356168260670764,1.5330253572819845,-0.9135523854430947,0.3271893896895815,No,No,Yes,No,No,No,No,-1.206361165890975,-0.5068572008645874,-0.7974906564092247,-0.6016633925085941,False,False,True,False,False,False,True,0.46304060492885346,1
