Product_Code,Warehouse,Product_Category,Date,Order_Demand
Product_0993,Whse_J,Category_028,27/07/2012,100
Product_0979,Whse_J,Category_028,19/01/2012,500
Product_0979,Whse_J,Category_028,03/02/2012,500
Product_0979,Whse_J,Category_028,09/02/2012,500
Product_0979,Whse_J,Category_028,02/03/2012,500
Product_0979,Whse_J,Category_028,19/04/2012,500
Product_0979,Whse_J,Category_028,05/06/2012,500
Product_0979,Whse_J,Category_028,27/06/2012,500
Product_0979,Whse_J,Category_028,23/07/2012,500
Product_0979,Whse_J,Category_028,29/08/2012,500
Product_0979,Whse_J,Category_028,29/08/2012,500
Product_0979,Whse_J,Category_028,18/09/2012,500
Product_0979,Whse_J,Category_028,11/10/2012,500
Product_0979,Whse_J,Category_028,01/11/2012,500
Product_0979,Whse_J,Category_028,29/11/2012,500
Product_0979,Whse_J,Category_028,26/12/2012,500
Product_1159,Whse_J,Category_006,06/01/2012,50000
Product_1159,Whse_J,Category_006,18/01/2012,100000
Product_1159,Whse_J,Category_006,02/02/2012,50000
Product_1159,Whse_J,Category_006,22/02/2012,50000
Product_1159,Whse_J,Category_006,02/03/2012,50000
Product_1159,Whse_J,Category_006,09/03/2012,50000
Product_1159,Whse_J,Category_006,23/03/2012,50000
Product_1159,Whse_J,Category_006,06/04/2012,50000
Product_1159,Whse_J,Category_006,16/04/2012,50000
Product_1159,Whse_J,Category_006,07/05/2012,50000
Product_1159,Whse_J,Category_006,17/04/2012,50000
Product_1159,Whse_J,Category_006,30/05/2012,50000
Product_1159,Whse_J,Category_006,20/06/2012,50000
Product_1159,Whse_J,Category_006,29/06/2012,50000
Product_1159,Whse_J,Category_006,09/07/2012,50000
Product_1159,Whse_J,Category_006,17/07/2012,50000
Product_1159,Whse_J,Category_006,30/07/2012,50000
Product_1159,Whse_J,Category_006,27/08/2012,50000
Product_1159,Whse_J,Category_006,31/07/2012,50000
Product_1159,Whse_J,Category_006,06/08/2012,50000
Product_1159,Whse_J,Category_006,04/09/2012,50000
Product_1159,Whse_J,Category_006,18/09/2012,50000
Product_1159,Whse_J,Category_006,30/08/2012,50000
Product_1159,Whse_J,Category_006,30/08/2012,50000
Product_1159,Whse_J,Category_006,12/09/2012,50000
Product_1159,Whse_J,Category_006,25/09/2012,50000
Product_1159,Whse_J,Category_006,01/10/2012,100000
Product_1159,Whse_J,Category_006,10/10/2012,50000
Product_1159,Whse_J,Category_006,18/10/2012,100000
Product_1159,Whse_J,Category_006,25/10/2012,50000
Product_1159,Whse_J,Category_006,01/11/2012,50000
Product_1938,Whse_J,Category_001,06/06/2012,4
Product_1938,Whse_J,Category_001,13/07/2012,4
Product_1938,Whse_J,Category_001,13/12/2012,4
Product_1157,Whse_J,Category_006,08/03/2012,150000
Product_1157,Whse_J,Category_006,08/03/2012,150000
Product_1157,Whse_J,Category_006,23/04/2012,150000
Product_1157,Whse_J,Category_006,23/05/2012,150000
Product_1157,Whse_J,Category_006,04/06/2012,160000
Product_1157,Whse_J,Category_006,04/06/2012,160000
Product_1157,Whse_J,Category_006,09/08/2012,160000
Product_1157,Whse_J,Category_006,20/08/2012,160000
Product_1157,Whse_J,Category_006,10/09/2012,160000
Product_1157,Whse_J,Category_006,19/10/2012,160000
Product_1157,Whse_J,Category_006,28/09/2012,160000
Product_1157,Whse_J,Category_006,19/11/2012,160000
Product_1157,Whse_J,Category_006,19/12/2012,160000
Product_1234,Whse_J,Category_019,25/04/2012,1000
Product_1451,Whse_J,Category_019,12/01/2012,1000
Product_1274,Whse_J,Category_019,16/01/2012,1000
Product_1274,Whse_J,Category_019,24/01/2012,1000
Product_1274,Whse_J,Category_019,24/01/2012,1000
Product_1512,Whse_J,Category_019,25/01/2012,20000
Product_1512,Whse_J,Category_019,01/02/2012,20000
Product_1512,Whse_J,Category_019,15/02/2012,20000
Product_1274,Whse_J,Category_019,31/01/2012,1000
Product_1274,Whse_J,Category_019,07/02/2012,1000
Product_1274,Whse_J,Category_019,13/02/2012,1000
Product_1274,Whse_J,Category_019,15/02/2012,1000
Product_1274,Whse_J,Category_019,21/02/2012,2000
Product_1451,Whse_J,Category_019,28/02/2012,1000
Product_1274,Whse_J,Category_019,06/03/2012,1000
Product_1274,Whse_J,Category_019,12/03/2012,1000
Product_1512,Whse_J,Category_019,21/03/2012,20000
Product_1274,Whse_J,Category_019,27/03/2012,1000
Product_1512,Whse_J,Category_019,27/03/2012,20000
Product_1512,Whse_J,Category_019,30/03/2012,10000
